Categoria,Subcategoria,Producto,Precio,URL Imagen,Nutriscore
,,Medallones de queso de cabra Dia Lactea 100 g,"1,65 €",https://www.dia.es/product_images/295596/295596_ISO_0_ES.jpg?imwidth=176,C
,,Rulo de queso de vaca Dia Lactea 140 g,"1,49 €",https://www.dia.es/product_images/295594/295594_ISO_0_ES.jpg?imwidth=176,E
,,Queso de oveja viejo Flor de esgueva 150 g,"3,79 €",https://www.dia.es/product_images/293948/293948_ISO_0_ES.jpg?imwidth=176,D
,,Queso light rallado Dia Lactea bolsa 150 g,"1,59 €",https://www.dia.es/product_images/292469/292469_ISO_0_ES.jpg?imwidth=176,B
,,Queso de oveja curado Insolito El cencerro 200 g,"3,55 €",https://www.dia.es/product_images/292092/292092_ISO_0_ES.jpg?imwidth=176,E
,,Queso de oveja anejo El cencerro 250 g,"4,37 €",https://www.dia.es/product_images/290785/290785_ISO_0_ES.jpg?imwidth=176,C
,,Queso de cabra al pimenton de la vera Iberques 250 g,"4,43 €",https://www.dia.es/product_images/284018/284018_ISO_0_ES.jpg?imwidth=176,E
,,Queso curado de oveja trufado Vega sotuelamos 170 g,"4,99 €",https://www.dia.es/product_images/282774/282774_ISO_0_ES.jpg?imwidth=176,C
,,Queso anejo de oveja al romero Vega sotuelamos 170 g,"3,95 €",https://www.dia.es/product_images/282773/282773_ISO_0_ES.jpg?imwidth=176,B
,,Queso sin lactosa rallado Dia Lactea bolsa 150 g,"1,63 €",https://www.dia.es/product_images/263634/263634_ISO_0_ES.jpg?imwidth=176,E
,,Queso semicurado El cencerro 930 g,"9,39 €",https://www.dia.es/product_images/255482/255482_ISO_0_ES.jpg?imwidth=176,C
,,Queso curado mezcla El cencerro 860 g,"9,67 €",https://www.dia.es/product_images/255481/255481_ISO_0_ES.jpg?imwidth=176,E
,,Queso curado la cava barus Garcia Baquero 250 g,"4,79 €",https://www.dia.es/product_images/247155/247155_ISO_0_ES.jpg?imwidth=176,B
,,Queso curado de oveja en aceite El cencerro 250 g,"4,35 €",https://www.dia.es/product_images/222784/222784_ISO_0_ES.jpg?imwidth=176,E
,,Queso curado manchego D.O.P. El cencerro 250 g,"5,79 €",https://www.dia.es/product_images/222783/222783_ISO_0_ES.jpg?imwidth=176,D
,,Queso fresco natural Dia Lactea tarrina 2 x 250 g,"1,89 €",https://www.dia.es/product_images/26824/26824_ISO_0_ES.jpg?imwidth=176,A
,,Queso mozzarella fresca Dia Lactea bolsa 125 g,"0,99 €",https://www.dia.es/product_images/108698/108698_ISO_0_ES.jpg?imwidth=176,A
,,Queso fresco natural Dia Lactea tarrina 4 x 62.5 g,"1,09 €",https://www.dia.es/product_images/115669/115669_ISO_0_ES.jpg?imwidth=176,D
,,Queso burrata Seleccion Mundial tarrina 150 g,"2,39 €",https://www.dia.es/product_images/263576/263576_ISO_0_ES.jpg?imwidth=176,E
,,Queso fresco de vaca El cencerro tarrina 250 g,"1,65 €",https://www.dia.es/product_images/115196/115196_ISO_0_ES.jpg?imwidth=176,C
,,Queso fresco natural Burgo de Arias tarrina 3 x 72 g,"2,25 €",https://www.dia.es/product_images/37869/37869_ISO_0_ES.jpg?imwidth=176,A
,,Queso fresco 0% m.g Dia Lactea tarrina 4 x 62.5 g,"1,09 €",https://www.dia.es/product_images/73062/73062_ISO_0_ES.jpg?imwidth=176,D
,,Queso fresco de cabra El cencerro tarrina 250 g,"2,77 €",https://www.dia.es/product_images/265592/265592_ISO_0_ES.jpg?imwidth=176,C
,,Queso feta D.O.P. Seleccion Mundial bolsa 150 g,"2,35 €",https://www.dia.es/product_images/293265/293265_ISO_0_ES.jpg?imwidth=176,A
,,Queso fresco artesano Vega e Hijos tarrina 250 g,"2,78 €",https://www.dia.es/product_images/28823/28823_ISO_0_ES.jpg?imwidth=176,B
,,Queso mozzarella Galbani bolsa 100 g,"1,39 €",https://www.dia.es/product_images/189685/189685_ISO_0_ES.jpg?imwidth=176,C
,,Queso fresco protein plus Burgo de Arias tarrina 3 x 70 g,"1,99 €",https://www.dia.es/product_images/292414/292414_ISO_0_ES.jpg?imwidth=176,C
,,Mini queso mozzarella Dia Lactea tarrina 125 g,"1,69 €",https://www.dia.es/product_images/207455/207455_ISO_0_ES.jpg?imwidth=176,E
,,Requeson Granja rinya tarrina 200 g,"0,99 €",https://www.dia.es/product_images/276132/276132_ISO_0_ES.jpg?imwidth=176,B
,,Queso fresco 0% m.g Dia Lactea tarrina 2 x 250 g,"1,89 €",https://www.dia.es/product_images/186751/186751_ISO_0_ES.jpg?imwidth=176,C
,,Queso fresco sin lactosa Dia Lactea tarrina 4 x 62.5 g,"1,79 €",https://www.dia.es/product_images/223231/223231_ISO_0_ES.jpg?imwidth=176,D
,,Queso mozzarella di bufala campana D.O.P. Seleccion Mundial tarrina 125 g,"1,89 €",https://www.dia.es/product_images/263621/263621_ISO_0_ES.jpg?imwidth=176,A
,,Queso fresco light bajo en sal El cencerro tarrina 250 g,"2,15 €",https://www.dia.es/product_images/297275/297275_ISO_0_ES.jpg?imwidth=176,B
,,Queso fresco batido rico en proteinas Granja Rinya tarrina 400 g,"1,89 €",https://www.dia.es/product_images/274204/274204_ISO_0_ES.jpg?imwidth=176,E
,,Queso mascarpone Seleccion Mundial tarrina 250 g,"2,55 €",https://www.dia.es/product_images/48095/48095_ISO_0_ES.jpg?imwidth=176,E
,,Queso fresco 0% m.g Burgo de Arias tarrina 3 x 72 g,"2,25 €",https://www.dia.es/product_images/57737/57737_ISO_0_ES.jpg?imwidth=176,A
,,Queso fresco latino Tgt bolsa 300 g,"3,49 €",https://www.dia.es/product_images/300572/300572_ISO_0_ES.jpg?imwidth=176,E
,,Tofu bio Apologize bandeja 300 g,"2,39 €",https://www.dia.es/product_images/295344/295344_ISO_0_ES.jpg?imwidth=176,D
